epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1465.55,0.884,0.45379,0.85251,0.96535,0.93652,0.97333,0.69167,0.9975,0.49656,0.8608,0.001109,0.001109,0.001109
92,1480.45,0.82093,0.42507,0.82994,0.96587,0.95124,0.97415,0.71274,0.98956,0.47689,0.87327,0.0010991,0.0010991,0.0010991
93,1494.17,0.85359,0.41616,0.84473,0.94992,0.95636,0.96188,0.70473,1.0156,0.50389,0.86694,0.0010892,0.0010892,0.0010892
94,1511.46,0.88366,0.46703,0.85083,0.97374,0.93499,0.9775,0.68161,1.05886,0.501,0.8727,0.0010793,0.0010793,0.0010793
95,1527.39,0.86232,0.42534,0.84242,0.97408,0.9475,0.97349,0.70814,1.00118,0.49578,0.85298,0.0010694,0.0010694,0.0010694
96,1544.95,0.80537,0.41666,0.85246,0.98284,0.96286,0.97204,0.72371,1.00099,0.49718,0.85841,0.0010595,0.0010595,0.0010595
97,1560.01,0.80775,0.40961,0.83105,0.97473,0.97254,0.98122,0.71435,1.0595,0.4906,0.90778,0.0010496,0.0010496,0.0010496
98,1575.66,0.78494,0.41462,0.83821,0.94283,0.97007,0.97688,0.71492,1.03026,0.51336,0.87848,0.0010397,0.0010397,0.0010397
99,1590.62,0.83527,0.42968,0.84574,0.99144,0.97359,0.98508,0.74222,0.94839,0.48957,0.85198,0.0010298,0.0010298,0.0010298
100,1606.05,0.83626,0.42203,0.83457,0.9743,0.9559,0.97869,0.72717,0.96748,0.4771,0.85881,0.0010199,0.0010199,0.0010199
101,1623.1,0.83844,0.42495,0.8484,0.96516,0.95798,0.97868,0.70507,1.01239,0.47679,0.88994,0.00101,0.00101,0.00101
102,1635.77,0.82653,0.43576,0.84591,0.97602,0.94958,0.97134,0.70145,1.0489,0.50963,0.90461,0.0010001,0.0010001,0.0010001
103,1648.01,0.84221,0.42415,0.8468,0.98817,0.94958,0.97953,0.71316,1.00046,0.49164,0.86079,0.0009902,0.0009902,0.0009902
104,1660.72,0.8599,0.4284,0.84092,0.98915,0.96639,0.98263,0.72484,0.99035,0.49298,0.84999,0.0009803,0.0009803,0.0009803
105,1673.81,0.79937,0.41951,0.84305,0.98973,0.96639,0.98529,0.7003,1.03787,0.54448,0.85707,0.0009704,0.0009704,0.0009704
106,1688.82,0.73466,0.40295,0.79423,0.9913,0.95697,0.98441,0.70776,0.99165,0.51327,0.84573,0.0009605,0.0009605,0.0009605
107,1703.73,0.82219,0.42518,0.8318,0.97758,0.98319,0.98319,0.72725,0.9779,0.48734,0.85811,0.0009506,0.0009506,0.0009506
108,1718.03,0.83411,0.44565,0.83359,0.98743,0.95798,0.98277,0.71826,0.97771,0.49871,0.85844,0.0009407,0.0009407,0.0009407
109,1734.74,0.81659,0.42788,0.84083,0.98116,0.94118,0.98224,0.71379,1.02485,0.52118,0.84849,0.0009308,0.0009308,0.0009308
110,1748.88,0.83294,0.42351,0.83171,0.98274,0.95686,0.98304,0.73634,0.99109,0.47224,0.88729,0.0009209,0.0009209,0.0009209
111,1762.16,0.82565,0.41571,0.82122,0.96937,0.95798,0.97701,0.72996,1.00497,0.48507,0.89884,0.000911,0.000911,0.000911
112,1775.57,0.83683,0.42387,0.83955,0.98273,0.92437,0.97853,0.71962,1.00621,0.48572,0.89367,0.0009011,0.0009011,0.0009011
113,1789.11,0.82989,0.4215,0.83586,0.9913,0.95751,0.98091,0.71595,0.98899,0.47764,0.88937,0.0008912,0.0008912,0.0008912
114,1805.46,0.78686,0.40049,0.83489,0.98381,0.96639,0.98265,0.7394,0.97156,0.46377,0.89805,0.0008813,0.0008813,0.0008813
115,1821.92,0.78965,0.41063,0.81438,0.97574,0.94958,0.98412,0.74716,0.92516,0.47256,0.83814,0.0008714,0.0008714,0.0008714
116,1838.6,0.77024,0.40477,0.82655,0.98259,0.9483,0.98091,0.73428,0.93335,0.4805,0.84931,0.0008615,0.0008615,0.0008615
117,1854.63,0.81536,0.41175,0.82391,0.9823,0.93277,0.97847,0.73245,0.97203,0.48729,0.87282,0.0008516,0.0008516,0.0008516
118,1870.56,0.83004,0.4261,0.82735,0.99137,0.96512,0.98228,0.73869,0.98859,0.46459,0.88261,0.0008417,0.0008417,0.0008417
119,1886.15,0.7938,0.41766,0.81952,0.99051,0.93277,0.97911,0.71828,0.94317,0.48583,0.84646,0.0008318,0.0008318,0.0008318
120,1903.81,0.7636,0.41199,0.82978,0.98137,0.94958,0.97876,0.74196,0.9171,0.45366,0.87107,0.0008219,0.0008219,0.0008219
